ch4_emissions,co2_emissions,facility_id,facility_name,n2o_emissions,reporting_year,quantity_of_fuel_combusted,unit_of_measure,fuel_combusted_type,combustion_unit_type
2.06,109485.8,1000355,(540) Civitas Resources - Denver Basin,0.206,2016,2011143.54,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
1.09,57626.6,1010222,GULF COAST BASIN,0.109,2017,1058542.128,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,28457.9,1010117,Core Energy Otsego County EOR Operations,0.00E+00,2021,522743,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.00E+00,157,1008617,Denbury Onshore LLC 395 Williston,0.00E+00,2017,2.056755556,1000SCF,diesel,COMB_compressor-driver
0.00E+00,0.00E+00,1011839,"Encino Operating, L.L.C. - Anadarko Basin",0.00E+00,2016,0.2,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.00E+00,249.5,1008199,Grizzly Arkoma Basin,0.00E+00,2017,4609.93,1000SCF,natural_gas_PQ,COMB_compressor-driver
8.00E-02,1861.7,1014360,Benchmark Energy Basin 360,0.015,2021,24.38333334,1000SCF,diesel,COMB_engine>1MMBTU/hr
47.1,17338,1008079,XTO Energy Inc 260 East Texas,0.032,2022,308773.5103,1000SCF,field_process_gas,COMB_compressor-driver
0.12,2998.3,1012984,"Southern Energy Operating, LLC MidGulf Coast Basin",0.024,2022,39.27106946,1000SCF,diesel,COMB_engine>1MMBTU/hr
16,313723.4,1011419,Linn Energy 745 San Joaquin Basin Production Segment,3.2,2016,910990,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.00E+00,0.00E+00,1013861,"High River Resources, LLC - San Juan Basin (580) Onshore Production",0.00E+00,2022,0,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
2.06,50672.5,1008113,MurphyE&P-220,0.411,2018,663.689469,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.09E+00,57939.8,1009391,Apache Corporation - Permian Basin 430,0.109,2017,1064296.509,1000SCF,natural_gas_PQ,COMB_compressor-driver
8.00E-02,4189.7,1009907,"Comstock Oil & Gas, LLC",0.008,2017,76961,1000SCF,field_process_gas,COMB_compressor-driver
0.13,104.9,1008167,Berry Petroleum Company - Uinta Basin 575,0.00E+00,2021,1639,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
1.23E+00,1607.8,1014889,ASEO Eagleford Production Operations,0.002,2023,19610.25,1000SCF,field_process_gas,COMB_compressor-driver
1.3,32154.3,1007482,ConocoPhillips' Williston (395),0.261,2016,421.1450835,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.04,1074.7,1011782,"Hilcorp Alaska, LLC 890 Arctic Slope Basin",0.009,2023,14.07638116,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.02,457,1008590,Dominion Energy Wexpro - Green River Basin (Prod),0.004,2018,6.040355905,1000SCF,diesel,COMB_compressor-driver
21.6,1144562.7,1008163,Berry Petroleum Company - San Joaquin Basin 745,2.2,2017,21148100,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
3.72,91688.9,1009260,Ovintiv USA Inc. 360.Anadarko Basin,0.744,2021,1200.905802,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.02,363.8,1009185,"Fundare Resources Operating Company, LLC",0.003,2018,4.250573786,1000SCF,propane,COMB_boiler>5MMBTU/hr
0.00E+00,153.7,1008306,Riviera Resources 360 Anadarko Basin Production Segment,0.00E+00,2018,2822.67,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.00E+00,0.00E+00,1011420,Riviera Resources 575 Uinta Basin Production Segment,0.00E+00,2015,0,1000SCF,gasoline,COMB_boiler>5MMBTU/hr
10.8,24380.8,1008980,"EOG Resources, Inc. 395 Williston basin",0.031,2018,250444.6311,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.05,2759.4,1009332,"Hilcorp Alaska, LLC 820 Kenai",0.005,2016,51607,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
77.09,229598,1008173,Marathon Oil Company - Williston Basin (AAPG Basin 395),0.09,2019,2171938.21,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.03,24.8,1013925,ETX Basin 260 Production,0.00E+00,2022,374.91,1000SCF,field_process_gas,COMB_compressor-driver
0.5,26438.1,1014341,Rio Oil and Gas (Permian) II LLC,0.05,2023,485640.67,1000SCF,natural_gas_PQ,COMB_compressor-driver
2.15E+01,25205.7,1014137,TRP Energy - 430 - Permian Basin,0.04,2023,325187.5114,1000SCF,field_process_gas,COMB_compressor-driver
30.71,28172.2,1011276,Sabine Oil & Gas LLC 360 Anadarko Basin,0.052,2015,423100.911,1000SCF,field_process_gas,COMB_compressor-driver
