facility_id,facility_name,industry_segment,reporting_year,small_ext_heat,small_in_theat,table_desc,table_num,total_number_of_units
1009434,Diamondback E&P LLC,Onshore petroleum and natural gas production [98.230(a)(2)],2015,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008113,MurphyE&P-220,Onshore petroleum and natural gas production [98.230(a)(2)],2023,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1013304,Helis Oil & Gas LLC - Denver Basin (540) Operations,Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,46.0000000000
1011666,Lindsay Field Office,Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,349.0000000000
1012154,580 - San Juan Basin Gathering/Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,141.0000000000
1011239,Gulfport Energy Corp,Onshore petroleum and natural gas production [98.230(a)(2)],2016,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012207,DCP Midstream 360 Anadarko Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,62.0000000000
1003026,SEMCO Energy Gas Company,Natural gas distribution [98.230(a)(8)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,56.0000000000
1012472,345 Arkoma Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,7.0000000000
1008882,Pennsylvania General Energy Company LLC,Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,138.0000000000
1012568,XTO Energy Inc 395 Williston  GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2016,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012797,"Range Resources - Appalachia, LLC - Basin 160A Gathering & Boosting (Canonsburg, PA)",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,8.0000000000
1014418,"PetroLegacy Energy II, LLC - Permian OSP",Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,6.0000000000
1014718,CHISHOLM OIL & GAS OPERATING,Onshore petroleum and natural gas production [98.230(a)(2)],2023,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,53.0000000000
1013087,Texas American 220 Gulf Coast Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,174.0000000000
1004120,WISCONSIN ELECTRIC POWER COMPANY,Natural gas distribution [98.230(a)(8)],2023,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1010233,EQT Production - Basin 160A - Appalachian Eastern Overthrust,Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,134.0000000000
1012177,Thunder Creek Gathering and Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,20.0000000000
1009260,Ovintiv USA Inc. 360.Anadarko Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,672.0000000000
1011547,Atlas 360/Anadarko Basin - Nash,Onshore petroleum and natural gas production [98.230(a)(2)],2019,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008395,"EOG Resources, Inc. 507 Central Western Overthrust",Onshore petroleum and natural gas production [98.230(a)(2)],2019,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,253.0000000000
1011894,"SRC Energy, Inc.",Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,677.0000000000
1012129,Permian Basin Operations,Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,165.0000000000
1013038,Marathon Oil Permian (AAPG Basin Number 430),Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,251.0000000000
1012487,Enterprise Products Operating LLC 260 East Texas Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,9.0000000000
1013595,Escondido Gulf Coast #220 OP,Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,153.0000000000
1012666,"FDL Operating, LLC 430 Permian Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,220.0000000000
1012605,"Trinity Operating USG, LLC - Chautauqua Platform (Basin 355)",Onshore petroleum and natural gas production [98.230(a)(2)],2021,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1004607,"Black Hills Gas Distribution Colorado LLC, dba Black Hills Energy",Natural gas distribution [98.230(a)(8)],2015,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,37.0000000000
1003336,Spire Gulf Inc.,Natural gas distribution [98.230(a)(8)],2019,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008576,Basin 220 South TX & South LA - OSP,Onshore petroleum and natural gas production [98.230(a)(2)],2019,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1005481,LIBERTY UTILITIES - MASSACHUSETTS,Natural gas distribution [98.230(a)(8)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,4.0000000000
1012563,"Blue Racer Midstream, LLC 160 Appalachian Basin GB",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,5.0000000000
